Word,IDF
فندق,2.024915443472203
مكان,2.5814320553733046
كانت,2.7232493576516994
راءع,2.75333872183319
خدمت,2.844744422577791
هناك,2.9058829756121742
غرفت,2.914030936703763
ولكن,3.0257749751433787
مطعم,3.0557772254471773
التي,3.1349742671083707
طعام,3.1404839229193398
موقع,3.2099279052744354
حمام,3.2218429398523067
موظف,3.2522668422124728
افظل,3.253149844477351
يوجد,3.276385921158199
انصح,3.280916966517799
استقبال,3.3011011379823443
اخري,3.3141610250969538
اكثر,3.32834566008891
جميع,3.3369540346255104
اقامت,3.3602787071919193
ممتاز,3.3632329190893504
جميل,3.408626491349713
راءعت,3.411727269027961
الذي,3.425276199586277
افطار,3.460517433197393
جيدت,3.460517433197393
غايت,3.4780617428483027
كثير,3.580476748276372
اسعار,3.59156743497053
واحدت,3.6015301574742042
مطاعم,3.641101370092807
فنادق,3.647633071956022
عامل,3.6489445475538327
يمكن,3.6581733539914545
نظافت,3.6863820746259637
بشكل,3.6891105892791676
وكان,3.7014818810817145
فيها,3.7338107681970745
سباحت,3.8249866488629443
سيءت,3.856785830555883
يكون,3.873072835530582
واحد,3.8796626452096374
ايظا,3.8996967042427535
ممتازت,3.903075085834381
مستوي,3.9115713136634667
الله,3.9253172345681016
تجربت,3.9270488367323795
ساعت,3.928783442544588
عليه,3.956954319511284
مدينت,3.9695331017181443
ايام,3.9767926617309484
جميلت,3.989625101800833
نظيفت,3.993321963682159
منطقت,3.993321963682159
نجوم,3.997032543078695
نسبت,4.0007569421696765
اطفال,4.002624356344473
كبير,4.01390267138218
كبيرت,4.021492840648856
انها,4.050480377522108
نظيف,4.054409655661997
خلال,4.056380099649296
ودود,4.080333340671789
تعامل,4.111104999338542
وصول,4.132158408536375
طاقم,4.136422807322832
فريق,4.1428536976531225
صغير,4.149326212158741
لمدت,4.151493060243831
اللي,4.155840893179934
اليوم,4.164593684289528
خاصت,4.168998977757445
قريب,4.175643520476114
صغيرت,4.1800978708254934
يعني,4.186816821074238
وكانت,4.2281070900118545
زيارت,4.232801934316062
مشكلت,4.242258269558098
